site,date,longitude,latitude,reg01,reg02,reg03,reg04,reg05,reg06,reg07,reg08,reg09,reg10,reg11,reg12,reg13,reg14,reg15,reg16,reg17
text,yyyymmdd,dd,dd,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm,ppm
ARV,20101101,-118.7887,35.239,1.9100E-05,1.7644E-04,1.1299E-03,9.0061E-02,-7.5200E-06,7.1508E-04,2.0874E-02,1.7672E-01,4.0010E-02,1.6997E-01,6.7424E-01,8.6999E-03,3.2146E-04,2.1604E-04,1.0800E-05,7.0604E+00,1.8453E-02
ARV,20101103,-118.7887,35.239,2.5755E-03,5.7800E-05,-9.5998E-04,5.5642E-03,4.0400E-05,6.8810E-01,3.1076E-04,2.2496E-03,2.4550E-03,5.8176E-01,3.1775E-02,2.5797E-03,-3.4900E-07,2.2000E-06,-9.7500E-05,1.9034E+00,5.6596E-01
ARV,20101105,-118.7887,35.239,3.8311E-03,4.0943E-03,9.1692E-03,2.1131E-03,1.0996E-03,-1.5376E-03,4.2818E-03,2.8281E-03,9.3374E-03,8.3770E-02,1.6659E-01,7.3158E-01,1.4022E-01,7.6195E-02,-1.3664E-04,-3.3726E-02,3.9118E-01
ARV,20101107,-118.7887,35.239,2.6271E-04,1.1961E-02,2.1249E-02,1.0756E-02,1.1768E-03,8.0104E-04,9.8161E-03,1.3981E-02,3.5879E-02,1.9032E-01,5.8551E-01,1.0485E-01,1.9374E-02,4.4065E-02,-2.1900E-05,2.9636E+00,5.7031E-01
ARV,20101109,-118.7887,35.239,1.5657E-01,2.9506E-01,4.3050E-01,-1.0578E-01,5.2561E-02,-1.1043E-04,-2.4627E-03,1.8094E-01,2.7242E-02,1.5618E-02,1.1981E-01,0.0000E+00,0.0000E+00,0.0000E+00,8.4900E-06,4.4332E-01,-2.1521E-03
ARV,20101111,-118.7887,35.239,9.0735E-02,1.0743E-01,8.5438E-02,4.1560E-02,1.3369E-02,1.6892E-01,5.3292E-02,3.3414E-02,3.2887E-02,-3.0975E-01,3.6966E-01,9.5823E-03,0.0000E+00,0.0000E+00,7.0028E-04,-6.0131E-01,2.2634E-01
ARV,20101113,-118.7887,35.239,3.1724E-02,1.6005E-01,8.1422E-02,3.9853E-01,1.8683E-02,2.4213E-01,3.0511E-01,7.5977E-01,2.5888E-01,1.5242E-01,1.3413E+00,2.1185E-02,0.0000E+00,0.0000E+00,1.7717E-02,7.6202E+00,1.9512E-01
ARV,20101115,-118.7887,35.239,2.5344E-01,1.4659E-02,6.9297E-01,5.2316E-01,1.1670E-02,2.5439E-01,2.0364E-01,5.6434E-01,3.2298E-01,1.0240E+00,8.3662E-01,2.4814E-01,0.0000E+00,1.3572E-03,1.2821E-02,1.2118E+01,3.4206E-01
ARV,20101117,-118.7887,35.239,2.0318E-01,1.1577E-01,8.6243E-01,8.7371E-01,2.1524E-02,2.5715E-01,2.9064E-01,6.8531E-01,5.6351E-01,2.9889E-01,1.5005E+00,3.9995E-02,-5.4100E-07,5.9300E-04,2.4698E-02,1.1734E+01,4.2059E-01
ARV,20101119,-118.7887,35.239,6.7027E-03,1.1318E-04,1.8692E-02,9.0370E-02,5.8911E-04,6.4665E-02,1.9944E-02,3.9040E-02,1.0946E-01,3.8097E-01,8.8813E-01,8.8929E-02,6.9603E-02,8.2731E-02,4.2496E-03,1.2758E+01,2.4169E-01
ARV,20101123,-118.7887,35.239,0.0000E+00,3.7055E-03,3.0954E-04,2.0324E-04,6.6100E-05,1.1446E-04,6.4078E-02,8.1033E-02,3.8641E-01,0.0000E+00,4.3349E-01,0.0000E+00,0.0000E+00,0.0000E+00,0.0000E+00,6.8920E-01,6.4637E-03
ARV,20101125,-118.7887,35.239,-1.3699E-02,-4.8138E-03,1.0828E-01,8.1924E-02,-1.8117E-03,3.0325E-02,6.0929E-03,-7.2293E-02,5.4023E-02,-2.2473E-01,4.7917E-01,2.4504E-02,0.0000E+00,0.0000E+00,6.7034E-04,-5.8712E-01,7.6819E-03
ARV,20101127,-118.7887,35.239,-2.8265E-03,-3.2295E-02,-3.3750E-03,1.6378E-02,-4.0358E-03,5.1564E-02,5.2518E-02,8.7784E-02,4.1739E-01,1.6654E-01,1.1417E+00,1.2701E-02,0.0000E+00,3.9273E-04,2.9200E-06,3.7580E+00,-3.3263E-02
ARV,20101129,-118.7887,35.239,1.6414E-01,2.1584E-01,6.1378E-01,-8.2960E-02,2.6259E-02,5.2133E-03,5.9138E-02,-2.2071E-01,2.0152E-02,5.1450E-02,1.8591E-01,2.1050E-02,0.0000E+00,0.0000E+00,-5.4239E-03,-8.8156E-01,1.3099E-01
CIT,20101101,-118.1225,34.1406,-1.0100E-06,6.0200E-05,-1.0176E-04,-3.4013E-04,-1.1997E-04,3.3041E-03,7.5260E-04,1.6668E-03,1.1046E-02,4.0482E-01,5.6841E-01,1.6602E-01,1.6427E-02,1.1723E-03,-1.8500E-05,3.9519E-02,-1.0282E-02
CIT,20101103,-118.1225,34.1406,1.0763E-03,5.5100E-07,2.5332E-03,6.0369E-02,3.0200E-07,-1.1849E-03,8.3583E-04,1.3246E-03,3.8446E-04,9.6994E-01,1.5767E-01,3.3566E+00,3.8519E-01,6.8437E-03,6.4525E-04,1.3041E-03,3.1510E-01
CIT,20101105,-118.1225,34.1406,-4.2062E-03,3.8551E-02,4.0882E-02,-2.1611E-04,1.2399E-03,1.5965E-03,2.4010E-03,2.1029E-03,1.2755E-03,1.7875E-02,-7.4500E-05,-9.0111E-02,3.8554E-02,9.4250E-01,9.9900E-05,-3.1574E-04,1.6518E+00
